ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
85,กระชาย/  ว่านอาทิตย์,ชาย/  หัวชาย,กระชาย/  หัวละแอน/  ระแอน/  กะแอน,กระชาย/  ขิงแดง/  ขิงทราย,น.,ชื่อพรรณไม้ล้มลุกจำพวกเหง้าชนิดหนึ่ง มีกาบใบหุ้มลำต้น ใบมีกลิ่นหอม ออกดอกช่อสีม่วงแดง มีเหง้า รากเก็บอาหารเป็นกระเปาะที่เรียกว่า กระโปกหรือนมกระชาย มีหลายชนิด เหง้าและรากใช้เป็นยา
86,กระชายดำ,ชายดำ/  หัวชายดำ,กระชายดำ,กระชายดำ,น.,ชื่อพรรณไม้ล้มลุกจำพวกเหง้าชนิดหนึ่ง ใบแบบใบขมิ้น เปลือกหัวหรือเหง้าสีน้ำตาล ข้างในสีม่วง ใช้เป็นยา
87,กระชายแดง,ชายแดง/  หัวชายแดง,กระชายแดง,กระชายแดง,น.,ชื่อพรรณไม้ล้มลุกจำพวกเหง้าชนิดหนึ่ง ลักษณะเหมือนกับกระชายทั่วไป กาบสีแดง หัวสีแดง
88,กระชายเหลือง,ชายเหลือง/  หัวชายเหลือง,กระชายเหลือง,กระชายเหลือง,น.,ชื่อพรรณไม้ล้มลุกจำพวกเหง้าชนิดหนึ่ง ลักษณะเหมือนกับกระชายทั่วไป หัวสีเหลือง
89,กระเชา/  กระเช้า/  กระแจะ/  กระเจา/  ขะเจา,กระเจา/  กระเจ้า/  ขเจา/  ขจาว,กระเจา/  กระเจ้า/  กระแจะ/  ขะแจะ/  ขเจา/  ขจาว,กระเชา/  กระเข้า/  กระเจา,น.,ชื่อพรรณไม้ยืนต้นผลัดใบขนาดใหญ่ชนิดหนึ่ง ผลแบนบางเป็นปีกโดยรอบ เนื้อไม้สดสีเหลืองมะนาว แห้งเป็นสีนวล ใช้ทำเครื่องเรือน ก้านร่ม และก้านไม้ขีดเป็นต้น
90,กระเช้าผีมด/  กระเช้ามด/  รังมดลี่,รังมดดำ/  รังมดตรอด,ฮางมดฮี่,หัวกระโหลก,น.,ชื่อสัตว์วัตถุชนิดหนึ่ง เป็นรังของมดดำ ที่สร้างไว้ตามกิ่งไม้ รูปทรงกลมสีดำ มีรูพรุน ใช้เป็นยา
91,กระเช้าผีมด/  หัวร้อยรู/  พญาร้อยรู/  ปุ่มฟ้า,หัวร้อยรู,มะเดื่อปล้อง/  เดื่อปล้อง,กระเช้าผีมด/  หัวกะโหลก,น.,ชื่อพรรณไม้เกาะอิงอาศัยชนิดหนึ่ง หัวกลมโตเท่าลูกมะพร้าว ใบเดี่ยวรูปไข่รีหนาแข็ง ผิวและขอบเรียบ เนื้อนิ่ม สีนํ้าตาลไหม้ หัวใช้เป็นยา
92,กระเช้าสีดา,กระเช้าสีดา/  เช้าสีดา/  หัวสีดา/  เขาฮ่อสีดา,กระเช้าสีดา/  ข้าวอีบ้า/  เข้าอีบ้า,กระเช้า/  หัวเขาผีบ้า,น.,ชื่อพรรณไม้เถาชนิดหนึ่ง เนื้อแข็ง กิ่งยาว เรียวเป็นร่อง ใบเดี่ยวรูปหัวใจ ปลายเรียวแหลม โคนตรงขอบเรียบ ออกดอกเป็นช่อ พื้นด้านบนสีน้ำตาลอมเขียวขอบสีม่วงดำ ด้านล่างสีม่วงดำ ผลทรงกลม เมื่อแก่สีนน้ำตาลอ่อน ใบและรากใช้เป็นยา
93,กระแช่/  หวาก,นํ้าแช่/  น้ำหวานเมา/  นํ้าตาลเมา/  นํ้าสัม,กระแช่,กระแช่/  เหล้าสาโท,น.,เครื่องดื่มมึนเมาชนิดหนึ่ง ได้จากนํ้าตาลโตนดหมักด้วยรากมะเกลือ
94,กระช้อง/  ครอก,ออ/  เช้าฝูง,หมู่/  ฝูง,หมู่/  โม,ว.,รวมกันเป็นหมู่ หรือเป็นกลุ่ม ใช้แก่ ปลา
95,กระแซง,,เชือกหนวด/  เจียกหนวด/  เชือกรัดอก/  เชือกเล็ก,,น.,1. เชือกหนังสำหรับติดกับสายประโคนของช้าง 2. เชือกบาศสำหรับคล้องช้าง
